Energy carrier,Type,Sector,Category
Electricity,DSO,Demand,Agriculture
Electricity,DSO,Demand,Buildings
Electricity,DSO,Demand,Buildings_hp_electric
Electricity,DSO,Demand,Buildings_hp_hybrid
Electricity,TSO,Demand,CO2_storage
Electricity,DSO,Demand,Datacenters
Electricity,TSO,Demand,Datacenters
Electricity,TSO,Demand,Direct_air_capture
Electricity,DSO,Demand,District_heat_network
Electricity,DSO,Demand,Households
Electricity,DSO,Demand,Households_hp_electric
Electricity,DSO,Demand,Households_hp_hybrid
Electricity,DSO,Demand,Industry_aluminium
Electricity,DSO,Demand,Industry_chemicals
Electricity,TSO,Demand,Industry_chemicals
Electricity,DSO,Demand,Industry_food
Electricity,TSO,Demand,Industry_fuels
Electricity,DSO,Demand,Industry_metals
Electricity,TSO,Demand,Industry_metals
Electricity,DSO,Demand,Industry_other
Electricity,TSO,Demand,Industry_other
Electricity,DSO,Demand,Industry_paper
Electricity,TSO,Demand,Industry_refineries
Electricity,TSO,Demand,Industry_steel
Electricity,TSO,Demand,Other_demand
Electricity,DSO,Demand,Transport_bus
Electricity,DSO,Demand,Transport_car
Electricity,DSO,Demand,Transport_other
Electricity,TSO,Demand,Transport_plane
Electricity,DSO,Demand,Transport_ship
Electricity,DSO,Demand,Transport_train
Electricity,DSO,Demand,Transport_tram
Electricity,DSO,Demand,Transport_truck
Electricity,DSO,Demand,Transport_van
Electricity,TSO,Exchange,BE
Electricity,TSO,Exchange,BE (MPI)
Electricity,TSO,Exchange,DE
Electricity,TSO,Exchange,DE (MPI)
Electricity,TSO,Exchange,DK
Electricity,TSO,Exchange,DK (MPI)
Electricity,TSO,Exchange,NO
Electricity,TSO,Exchange,NO (MPI)
Electricity,TSO,Exchange,Not used
Electricity,TSO,Exchange,UK
Electricity,TSO,Exchange,UK (MPI)
Electricity,DSO,Flexibility,Agriculture_CHP
Electricity,DSO,Flexibility,Agriculture_PtH
Electricity,DSO,Flexibility,Battery_households
Electricity,DSO,Flexibility,Battery_solar_PV
Electricity,TSO,Flexibility,Battery_solar_PV
Electricity,DSO,Flexibility,Battery_system
Electricity,TSO,Flexibility,Battery_system
Electricity,DSO,Flexibility,Battery_transport
Electricity,DSO,Flexibility,Battery_wind_onshore
Electricity,TSO,Flexibility,Battery_wind_onshore
Electricity,TSO,Flexibility,Curtailment
Electricity,DSO,Flexibility,Datacenters_DSR
Electricity,TSO,Flexibility,Datacenters_DSR
Electricity,TSO,Flexibility,Deficit
Electricity,DSO,Flexibility,District_PtH
Electricity,TSO,Flexibility,Hydro_storage
Electricity,TSO,Flexibility,IDES_storage
Electricity,DSO,Flexibility,Industry_chemicals_DSR
Electricity,TSO,Flexibility,Industry_chemicals_DSR
Electricity,DSO,Flexibility,Industry_chemicals_PtH
Electricity,TSO,Flexibility,Industry_chemicals_PtH
Electricity,DSO,Flexibility,Industry_food_PtH
Electricity,TSO,Flexibility,Industry_food_PtH
Electricity,DSO,Flexibility,Industry_hydrogen_CHP
Electricity,DSO,Flexibility,Industry_metals_DSR
Electricity,TSO,Flexibility,Industry_metals_DSR
Electricity,DSO,Flexibility,Industry_methane_CHP
Electricity,TSO,Flexibility,Industry_methane_CHP
Electricity,DSO,Flexibility,Industry_other_DSR
Electricity,TSO,Flexibility,Industry_other_DSR
Electricity,DSO,Flexibility,Industry_paper_PtH
Electricity,TSO,Flexibility,Industry_refineries_PtH
Electricity,TSO,Flexibility,MDES_storage
Electricity,TSO,Flexibility,Power_plant_coal
Electricity,TSO,Flexibility,Power_plant_hydrogen
Electricity,TSO,Flexibility,Power_plant_hydrogen_backup
Electricity,TSO,Flexibility,Power_plant_methane
Electricity,TSO,Flexibility,Power_plant_methane_backup
Electricity,DSO,Flexibility,Power_plant_methane_CHP
Electricity,TSO,Flexibility,Power_plant_methane_CHP
Electricity,TSO,Flexibility,Power_plant_nuclear
Electricity,TSO,Flexibility,Power_plant_nuclear_SMR
Electricity,DSO,Flexibility,Power_plant_other
