Plant identifier,provider_electricity,provider_gas
0ac0ee36-995e-4723-a75a-4ce8724b0560,DSO,
dd749763-a050-43b8-96f3-7e1e585fb445,DSO,
6147f431-d05b-40f2-a8a7-9bf004b6ffdd,,
00f1a6e2-a623-4c38-ad43-ef9be218c54a,DSO,
406230a8-b9e8-4cc6-b5ca-736be061e310,,TSO
9759c317-7a91-4e02-a8d3-7f32a61a4458,DSO,
6f852331-ede7-46bb-936a-cc595c3c53fc,TSO,
978f375d-d9dd-4fc7-90bd-507d75fc6951,,
7e2f3b03-d835-495e-80af-4740b068526b,,
277ed4ca-ce15-4bd9-b026-b322ed37f5bf,,
2dea9910-e925-4574-a656-79301406cf8d,,
09c33f18-df72-478c-984f-9c2ea39676a6,,
f44fa4c4-62cd-42f1-a54c-7eab0678dbff,TSO,
b0a7d648-a053-46f4-be14-4662d3a8bbe9,,
ec1ffca3-e31f-4b8c-b466-6811516a7c36,DSO,
fa174fca-b602-4bfe-9455-7321378b0f74,DSO,
718d3a11-29fe-4d9a-9626-03e359b13f43,,
6beec4ef-263a-418f-a992-34ad7a3f870b,,
957d0969-12d8-47e4-8bf7-0b17660216b1,,
69bab296-c952-4394-89cc-6cc91d3ee0eb,,
bb226d4f-5db8-4b52-b8fc-213454ed76ee,,
98efdfc5-222a-40a2-9e35-ffc12808217c,DSO,
f0ae1334-3c2a-4171-8100-a3f4211b5e0e,DSO,
3c810b92-0eca-477f-a974-6371bf8e6352,DSO,
390feb80-8392-4d85-9d1e-03b711c35cd9,,
42aec4bc-d7a6-44b1-8427-cf8360694736,DSO,
6ab58220-7dfc-4ab6-bfd2-5764f24d5bc8,,
771eafbe-36dc-429b-b23a-97cd2e39980a,,
206a6059-48c6-4b8a-8c56-d73c8dc8de3c,DSO,
bf928e87-d47b-40f2-a2d7-8a15b94d6be8,DSO,
55c85167-5538-4aad-8d71-c7fa952f70fe,DSO,
eb45062f-04c6-4f3b-ad6e-a6e812176965,TSO,
1d5c2456-7991-4e5a-bdff-f54efe1b05a8,DSO,
7f6067eb-728b-4e33-9c15-5f1be18e1773,DSO,
15c6879f-6aaa-494d-a03b-93d89d6e4fee,,
8fd8f151-7539-4ec2-a4bc-3c1f6f910964,,
8a56b71b-3b39-423f-aea7-0ce3ff214d1b,,
d9af826a-3d56-455b-88df-d58e7720f815,,
e07f013e-439a-44c7-80ac-766063a8071f,,
2fff7a6c-d807-4366-b903-8d4a44e1d3a5,,
cc1ae61f-a455-41f5-9992-d1e5d1d260b9,DSO,
c7b71b98-eb04-495c-99d8-2100dad1e8dd,TSO,
5dd0c306-345d-4b7c-8495-0ed2e8a12529,TSO,
3607cefd-8e6c-4943-8878-2e2cc7102285,DSO,
19d9e795-36c6-4892-b01b-e00a522e8423,,
a2bcf929-1bb0-4973-9f5c-642edd5372a1,,
e513db4b-851e-46be-8de8-857256a8b437,,
86de6076-2f31-474b-bb78-0d0575d2a74a,,
79e7d6fb-29cc-49fe-a833-9fadfcd6bc3b,,
1b358147-13c1-4cd3-b3bb-77abaa7eeb43,,
2d56ed93-ffdf-426b-b6d4-c03499f1c0d2,DSO,
b7e18d98-43e2-43f0-b22a-659cb3e7b778,DSO,
6ff2a93e-ca1f-485b-820d-86d42cecc9a5,,
ec0ac56c-7a0e-4f34-883c-fbbe7cdd6994,,
c2eb1898-c93b-4687-8885-9b747248aa84,,
455687f1-b5f7-4138-98b4-e38912319a35,,
325051af-cde6-4372-935d-239e39c16824,,
c6ccddec-4a1f-4ae4-9c45-4884799a9549,,
be1e59bf-6399-48a6-a66a-a0a17a6acb84,,
719de714-8e2c-478f-9f72-476e5cd78000,TSO,
795247ed-2bb1-4747-8814-40487393136f,TSO,
7161d7ee-55df-4bda-8eb9-1f7abad7eeee,TSO,
4331c451-9d49-424d-99bc-d4c10595c4ad,TSO,
9d1324ac-daf2-4637-840b-71c27cd3eae7,,
0e0116aa-03da-4e3d-9157-dbf17aa98eb1,,
db345207-37a0-4c62-8977-fe584be30158,,
306ce873-3358-4379-98f3-c2b840dbdc16,,
d8c03735-fd11-4b6f-b2d3-37f9eef3174a,,
ee9a6551-2fb5-4916-86fa-05dfe9f9c7c7,DSO,
1a3ece36-ca4d-4f77-aed6-f39106bbb77b,TSO,
4a05725d-81c3-4cb3-9e99-bad619a7c440,TSO,
825429d4-3db9-43b8-ae8e-d20169812de6,DSO,
263b3c27-0a5b-4921-88f4-c6c62e928294,DSO,
91adef7f-a81b-4c9e-837d-1f020f32b726,DSO,
b08ff0e9-5b03-448e-8b57-aa2b9e36be98,DSO,
3d6d705e-5b33-4517-a59d-8a915256ed30,DSO,
1212af82-ffdc-4ed1-95c2-11c1ade2ca5f,DSO,
