postcode6,buurtcode,buurtnaam
1011AB,BU0363AF01,Oosterdokseiland
1011AC,BU0363AF01,Oosterdokseiland
1011AD,BU0363AF01,Oosterdokseiland
1011AE,BU0363AF01,Oosterdokseiland
1011AG,BU0363AF02,Lastage
1011AH,BU0363AF02,Lastage
1011AJ,BU0363AF02,Lastage
1011AK,BU0363AF03,Scheepvaarthuisbuurt
1011AL,BU0363AF09,Waterloopleinbuurt
1011AM,BU0363AF03,Scheepvaarthuisbuurt
1011AN,BU0363AF03,Scheepvaarthuisbuurt
1011AP,BU0363AF03,Scheepvaarthuisbuurt
1011AR,BU0363AF03,Scheepvaarthuisbuurt
1011AS,BU0363AF03,Scheepvaarthuisbuurt
1011AT,BU0363AF03,Scheepvaarthuisbuurt
1011AV,BU0363AF03,Scheepvaarthuisbuurt
1011AW,BU0363AF03,Scheepvaarthuisbuurt
1011AX,BU0363AF03,Scheepvaarthuisbuurt
1011AZ,BU0363AF03,Scheepvaarthuisbuurt
1011BA,BU0363AF03,Scheepvaarthuisbuurt
1011BB,BU0363AF03,Scheepvaarthuisbuurt
1011BC,BU0363AF03,Scheepvaarthuisbuurt
1011BD,BU0363AF03,Scheepvaarthuisbuurt
1011BG,BU0363AF03,Scheepvaarthuisbuurt
1011BH,BU0363AF03,Scheepvaarthuisbuurt
1011BJ,BU0363AF03,Scheepvaarthuisbuurt
1011BK,BU0363AF03,Scheepvaarthuisbuurt
1011BL,BU0363AF03,Scheepvaarthuisbuurt
1011BM,BU0363AF03,Scheepvaarthuisbuurt
1011BN,BU0363AF03,Scheepvaarthuisbuurt
1011BP,BU0363AF03,Scheepvaarthuisbuurt
1011BR,BU0363AF03,Scheepvaarthuisbuurt
1011BS,BU0363AF02,Lastage
1011BT,BU0363AF02,Lastage
1011BV,BU0363AF02,Lastage
1011BW,BU0363AF02,Lastage
1011BX,BU0363AF02,Lastage
1011BZ,BU0363AF02,Lastage
1011CA,BU0363AF02,Lastage
1011CB,BU0363AF02,Lastage
1011CC,BU0363AF02,Lastage
1011CD,BU0363AF02,Lastage
1011CE,BU0363AF02,Lastage
1011CH,BU0363AF02,Lastage
1011CJ,BU0363AF02,Lastage
1011CK,BU0363AF02,Lastage
1011CL,BU0363AF02,Lastage
1011CM,BU0363AF02,Lastage
1011CN,BU0363AF02,Lastage
1011CP,BU0363AF02,Lastage
1011CR,BU0363AF02,Lastage
1011CS,BU0363AF02,Lastage
1011CT,BU0363AF02,Lastage
1011CV,BU0363AF02,Lastage
1011CW,BU0363AF02,Lastage
1011CX,BU0363AF02,Lastage
1011CZ,BU0363AF02,Lastage
1011DB,BU0363AF02,Lastage
1011DC,BU0363AF05,Nieuwmarkt
1011DD,BU0363AF01,Oosterdokseiland
1011DE,BU0363AF01,Oosterdokseiland
1011DG,BU0363AF01,Oosterdokseiland
1011DH,BU0363AF01,Oosterdokseiland
1011DJ,BU0363AF01,Oosterdokseiland
1011DK,BU0363AF01,Oosterdokseiland
1011DL,BU0363AF01,Oosterdokseiland
1011DZ,BU0363AF05,Nieuwmarkt
1011EA,BU0363AF05,Nieuwmarkt
1011EB,BU0363AF05,Nieuwmarkt
1011EC,BU0363AF05,Nieuwmarkt
1011ED,BU0363AF05,Nieuwmarkt
1011EE,BU0363AF02,Lastage
1011EG,BU0363AF02,Lastage
1011EH,BU0363AF02,Lastage
1011EJ,BU0363AF02,Lastage
1011EK,BU0363AF02,Lastage
1011EL,BU0363AF02,Lastage
1011EM,BU0363AF02,Lastage
1011EN,BU0363AF05,Nieuwmarkt
1011ER,BU0363AF02,Lastage
1011ES,BU0363AF05,Nieuwmarkt
1011ET,BU0363AF05,Nieuwmarkt
1011EV,BU0363AF05,Nieuwmarkt
1011EW,BU0363AF05,Nieuwmarkt
1011EX,BU0363AF05,Nieuwmarkt
1011EZ,BU0363AF05,Nieuwmarkt
1011GA,BU0363AF05,Nieuwmarkt
1011GB,BU0363AF05,Nieuwmarkt
1011GC,BU0363AF05,Nieuwmarkt
1011GD,BU0363AF05,Nieuwmarkt
1011GG,BU0363AF05,Nieuwmarkt
1011GH,BU0363AF05,Nieuwmarkt
1011GJ,BU0363AF05,Nieuwmarkt
1011GK,BU0363AF05,Nieuwmarkt
1011GL,BU0363AF05,Nieuwmarkt
1011GM,BU0363AF05,Nieuwmarkt
1011GN,BU0363AF05,Nieuwmarkt
1011GP,BU0363AF05,Nieuwmarkt
1011GR,BU0363AF05,Nieuwmarkt
1011GS,BU0363AF05,Nieuwmarkt
1011GT,BU0363AF05,Nieuwmarkt
1011GV,BU0363AF05,Nieuwmarkt
1011GW,BU0363AF05,Nieuwmarkt
1011GX,BU0363AF05,Nieuwmarkt
1011GZ,BU0363AF05,Nieuwmarkt
1011HA,BU0363AF05,Nieuwmarkt
1011HB,BU0363AF08,Zuiderkerkbuurt
1011HC,BU0363AF08,Zuiderkerkbuurt
1011HD,BU0363AF08,Zuiderkerkbuurt
1011HE,BU0363AF08,Zuiderkerkbuurt
1011HG,BU0363AF08,Zuiderkerkbuurt
1011HH,BU0363AF08,Zuiderkerkbuurt
1011HJ,BU0363AF08,Zuiderkerkbuurt
1011HK,BU0363AF08,Zuiderkerkbuurt
1011HL,BU0363AF08,Zuiderkerkbuurt
1011HM,BU0363AF08,Zuiderkerkbuurt
1011HN,BU0363AF08,Zuiderkerkbuurt
1011HP,BU0363AF08,Zuiderkerkbuurt
1011HR,BU0363AF08,Zuiderkerkbuurt
1011HS,BU0363AF08,Zuiderkerkbuurt
1011HT,BU0363AF08,Zuiderkerkbuurt
1011HV,BU0363AF08,Zuiderkerkbuurt
1011HW,BU0363AF08,Zuiderkerkbuurt
1011HX,BU0363AF08,Zuiderkerkbuurt
1011HZ,BU0363AF08,Zuiderkerkbuurt
1011JA,BU0363AF08,Zuiderkerkbuurt
1011JB,BU0363AF05,Nieuwmarkt
1011JC,BU0363AF08,Zuiderkerkbuurt
1011JD,BU0363AF08,Zuiderkerkbuurt
1011JE,BU0363AF08,Zuiderkerkbuurt
1011JG,BU0363AF08,Zuiderkerkbuurt
1011JH,BU0363AF08,Zuiderkerkbuurt
1011JJ,BU0363AF08,Zuiderkerkbuurt
1011JK,BU0363AF08,Zuiderkerkbuurt
1011JL,BU0363AF08,Zuiderkerkbuurt
1011JM,BU0363AF08,Zuiderkerkbuurt
1011JN,BU0363AF08,Zuiderkerkbuurt
1011JP,BU0363AF05,Nieuwmarkt
1011JR,BU0363AF05,Nieuwmarkt
1011JS,BU0363AF05,Nieuwmarkt
1011JT,BU0363AF08,Zuiderkerkbuurt
1011JV,BU0363AF08,Zuiderkerkbuurt
